date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:12	291/291	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Oct%202017%2001:02:10%20GMT	http://0effortthemes.com/robots.txt		(from )
21:02:12	15968/15968	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202015%2013:28:07%20GMT	http://0effortthemes.com/awesomeIdeas/	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/index.html	(from )
21:02:13	69123/69123	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202015%2013:30:36%20GMT	http://0effortthemes.com/awesomeIdeas/styles/vendor.css	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/styles/vendor.css	(from http://0effortthemes.com/awesomeIdeas/)
21:02:14	203883/203883	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202015%2013:30:35%20GMT	http://0effortthemes.com/awesomeIdeas/styles/main.css	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/styles/main.css	(from http://0effortthemes.com/awesomeIdeas/)
21:02:15	11086/11086	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Oct%202015%2013:30:32%20GMT	http://0effortthemes.com/awesomeIdeas/scripts/vendor/modernizr.js	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/scripts/vendor/modernizr.js	(from http://0effortthemes.com/awesomeIdeas/)
21:02:15	1246/1246	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:36%20GMT	http://0effortthemes.com/awesomeIdeas/images/logo-mobile.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/logo-mobile.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:15	1880/1880	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:36%20GMT	http://0effortthemes.com/awesomeIdeas/images/logo-2.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/logo-2.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:15	1880/1880	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:37%20GMT	http://0effortthemes.com/awesomeIdeas/images/logo.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/logo.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:16	297/297	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:29:22%20GMT	http://0effortthemes.com/awesomeIdeas/images/icons/cross.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/icons/cross.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:16	21570/21570	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:29:14%20GMT	http://0effortthemes.com/awesomeIdeas/images/home/text_back.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/home/text_back.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:47	189233/189233	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:29:19%20GMT	http://0effortthemes.com/awesomeIdeas/images/home/text_front.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/home/text_front.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:48	8576/8576	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202015%2013:28:10%20GMT	http://0effortthemes.com/awesomeIdeas/serviceDetails.html	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/serviceDetails.html	(from http://0effortthemes.com/awesomeIdeas/)
21:02:49	6469/6469	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:59%20GMT	http://0effortthemes.com/awesomeIdeas/images/content/sBusiness.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/content/sBusiness.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:50	2725/2725	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:59%20GMT	http://0effortthemes.com/awesomeIdeas/images/content/sbranding.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/content/sbranding.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:53	228474/228474	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:28:44%20GMT	http://0effortthemes.com/awesomeIdeas/images/about/back-about.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/about/back-about.png	(from http://0effortthemes.com/awesomeIdeas/)
21:02:57	273809/273809	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:29:17%20GMT	http://0effortthemes.com/awesomeIdeas/images/home/background.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/home/background.png	(from http://0effortthemes.com/awesomeIdeas/)
21:03:02	21883/21883	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202015%2013:29:48%20GMT	http://0effortthemes.com/awesomeIdeas/images/service/camera.png	C:/Users/Brenda/Desktop/Projects/clauniverse.github.io/AI/0effortthemes.com/awesomeIdeas/images/service/camera.png	(from http://0effortthemes.com/awesomeIdeas/)
